Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
"West Tex/New Mexico",Weekly,"2017-05-28 00:00:00",Organic,1.650000000,18798.80,2703.95,4148.35,11.11,11935.39,5244.73,6690.66,0.00
"Total U.S.",Weekly,"2017-06-04 00:00:00",Organic,1.640000000,1352960.47,165665.93,387057.95,2865.59,797371.00,525280.48,272090.52,0.00
Albany,Weekly,"2017-06-04 00:00:00",Organic,1.630000000,3771.39,54.47,352.85,0.00,3364.07,3364.07,0.00,0.00
Atlanta,Weekly,"2017-06-04 00:00:00",Organic,1.440000000,20445.39,1464.32,5926.88,0.00,13054.19,2610.58,10443.61,0.00
Baltimore/Washington,Weekly,"2017-06-04 00:00:00",Organic,2.150000000,26345.64,1029.51,13920.73,217.02,11178.38,11174.92,3.46,0.00
Boise,Weekly,"2017-06-04 00:00:00",Organic,1.270000000,4579.54,72.25,651.54,0.00,3855.75,635.33,3220.42,0.00
Boston,Weekly,"2017-06-04 00:00:00",Organic,2.040000000,22924.67,12.27,1676.05,0.00,21236.35,19576.46,1659.89,0.00
Buffalo/Rochester,Weekly,"2017-06-04 00:00:00",Organic,2.510000000,5425.35,3.59,491.51,0.00,4930.25,948.34,3981.91,0.00
California,Weekly,"2017-06-04 00:00:00",Organic,1.640000000,206419.24,31578.61,80018.80,12.42,94809.41,94661.56,147.85,0.00
Charlotte,Weekly,"2017-06-04 00:00:00",Organic,2.470000000,7061.26,295.98,4783.78,342.96,1638.54,1638.54,0.00,0.00
Chicago,Weekly,"2017-06-04 00:00:00",Organic,1.940000000,46993.63,41.82,43896.68,0.00,3055.13,3050.69,4.44,0.00
Cincinnati/Dayton,Weekly,"2017-06-04 00:00:00",Organic,1.650000000,12883.22,307.24,4899.81,0.00,7676.17,829.24,6846.93,0.00
Columbus,Weekly,"2017-06-04 00:00:00",Organic,1.440000000,10383.54,726.95,3262.43,0.00,6394.16,2168.35,4225.81,0.00
"Dallas/Ft. Worth",Weekly,"2017-06-04 00:00:00",Organic,1.080000000,42392.08,6369.58,4490.33,0.00,31532.17,31403.21,128.96,0.00
